Point;Point._x;Point._y;Point.X;Point.Y;Point.Layer
GIS.Point;131,17482;-7,4042296;131,17482;-7,4042296;0
GIS.Point;131,1775;-7,406671;131,1775;-7,406671;0
GIS.Point;131,18141;-7,4113097;131,18141;-7,4113097;0
GIS.Point;131,18288;-7,4159484;131,18288;-7,4159484;0
GIS.Point;131,16586;-7,4244933;131,16586;-7,4244933;0
GIS.Point;131,12697;-7,466404;131,12697;-7,466404;0
GIS.Point;131,11647;-7,4718566;131,11647;-7,4718566;0
GIS.Point;131,10515;-7,476007;131,10515;-7,476007;0
GIS.Point;131,09596;-7,481378;131,09596;-7,481378;0
GIS.Point;131,08888;-7,4977355;131,08888;-7,4977355;0
GIS.Point;131,08034;-7,503676;131,08034;-7,503676;0
GIS.Point;131,06918;-7,507501;131,06918;-7,507501;0
GIS.Point;131,05739;-7,507908;131,05739;-7,507908;0
GIS.Point;131,05739;-7,500421;131,05739;-7,500421;0
GIS.Point;131,06316;-7,497003;131,06316;-7,497003;0
GIS.Point;131,06667;-7,4928527;131,06667;-7,4928527;0
GIS.Point;131,0718;-7,479425;131,0718;-7,479425;0
GIS.Point;131,04721;-7,4804015;131,04721;-7,4804015;0
GIS.Point;131,02458;-7,4852843;131,02458;-7,4852843;0
GIS.Point;131,0049;-7,4857726;131,0049;-7,4857726;0
GIS.Point;130,98927;-7,47324;130,98927;-7,47324;0
GIS.Point;130,9852;-7,4559875;130,9852;-7,4559875;0
GIS.Point;130,99106;-7,4388976;130,99106;-7,4388976;0
GIS.Point;131,00327;-7,4244933;131,00327;-7,4244933;0
GIS.Point;131,01823;-7,415216;131,01823;-7,415216;0
GIS.Point;131,02711;-7,4130187;131,02711;-7,4130187;0
GIS.Point;131,035;-7,413507;131,035;-7,413507;0
GIS.Point;131,05128;-7,417169;131,05128;-7,417169;0
GIS.Point;131,0674;-7,4177384;131,0674;-7,4177384;0
GIS.Point;131,12477;-7,410414;131,12477;-7,410414;0
GIS.Point;131,14145;-7,405369;131,14145;-7,405369;0
GIS.Point;131,15366;-7,4042296;131,15366;-7,4042296;0
GIS.Point;131,16017;-7,4029274;131,16017;-7,4029274;0
GIS.Point;131,16342;-7,400486;131,16342;-7,400486;0
GIS.Point;131,16725;-7,3999977;131,16725;-7,3999977;0
GIS.Point;131,17482;-7,4042296;131,17482;-7,4042296;0
